STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,WT09
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",23-11-2000,4.25,1439,1439,0,,,50,55,45,,300,300,15,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",24-11-2000,6.04,1110,1109,0,,,51,59,42,0,40,40,16.1,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",25-11-2000,3.8,1515,1514,0,,,47,53,40,0,300,310,14.1,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",26-11-2000,4.7,1849,1845,0,,,51,59,42,0,330,330,8.9,12.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",27-11-2000,4.03,1312,1311,0,,,49,58,40,0,310,310,17.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",28-11-2000,7.38,1911,1914,0,,,50,55,44,0,80,80,14.1,15,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",29-11-2000,9.4,743,540,0.24,,,52,60,43,,200,160,21.9,25.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",30-11-2000,2.68,1610,1613,0,,,47,53,41,,300,300,8.9,10.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",01-12-2000,3.13,1513,1512,0,,,47,56,38,,300,310,12.1,13,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",02-12-2000,3.58,2011,2011,0,,,46,57,34,,80,90,12.1,13,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",03-12-2000,5.14,1117,1116,0,,,49,61,37,,80,80,15,17,,,,,,
